"""Kernel""","""Salinity""","""Species""","""Time"""
2,HS,I,10
2,HS,I,15
2,HS,I,14
2,HS,I,13
2,HS,I,14
2,HS,I,14
2,HS,I,11
2,HS,I,16
2,HS,I,14
2,HS,I,9
2,HS,I,14
2,HS,I,9
2,HS,I,15
2,HS,I,12
2,HS,I,13
2,HS,I,11
2,HS,I,10
2,HS,I,14
2,HS,I,8
2,HS,I,14
2,HS,II,6
2,HS,II,8
2,HS,II,15
2,HS,II,14
2,HS,II,10
2,HS,II,9
2,HS,II,10
2,HS,II,9
2,HS,II,13
2,HS,II,8
2,HS,II,6
2,HS,II,10
2,HS,II,7
2,HS,II,12
2,HS,II,8
2,HS,II,6
2,HS,II,16
2,HS,II,9
2,HS,II,12
2,HS,II,12
2,HS,II,8
2,HS,II,9
2,HS,II,13
2,HS,III,9
2,HS,III,9
2,HS,III,9
2,HS,III,9
2,HS,III,5
2,HS,III,4
2,HS,III,10
2,HS,III,9
2,HS,III,8
2,HS,III,15
2,HS,III,6
2,HS,III,6
2,HS,III,6
2,HS,III,9
2,HS,III,5
2,HS,III,8
2,HS,III,6
2,HS,III,4
2,HS,III,6
2,HS,III,7
2,HS,III,13
2,HS,III,15
2,HS,III,12
2,HS,III,4
2,HS,III,5
2,HS,III,7
2,HS,III,6
2,HS,III,7
2,HS,III,8
2,HS,III,7
2,HS,III,4
2,HS,III,5
2,HS,III,14
2,LS,I,15
2,LS,I,14
2,LS,I,15
2,LS,I,12
2,LS,I,8
2,LS,I,16
2,LS,I,15
2,LS,I,11
2,LS,I,12
2,LS,II,14
2,LS,II,8
2,LS,II,7
2,LS,II,9
2,LS,II,13
2,LS,II,15
2,LS,II,8
2,LS,II,9
2,LS,II,6
2,LS,II,15
2,LS,II,9
2,LS,II,12
2,LS,II,8
2,LS,II,7
2,LS,II,14
2,LS,II,8
2,LS,II,8
2,LS,II,9
2,LS,II,11
2,LS,II,9
2,LS,II,7
2,LS,III,9
2,LS,III,14
2,LS,III,7
2,LS,III,10
2,LS,III,5
2,LS,III,4
2,LS,III,6
2,LS,III,5
2,LS,III,9
2,LS,III,3
2,LS,III,4
2,LS,III,11
2,LS,III,5
2,LS,III,6
2,LS,III,4
2,LS,III,14
2,LS,III,11
2,LS,III,9
2,LS,III,4
2,LS,III,8
2,LS,III,10
2,LS,III,12
2,LS,III,7
2,LS,III,4
2,LS,III,4
2,LS,III,9
2,LS,III,9
2,LS,III,13
2,LS,III,4
3,HS,I,13
3,HS,I,13
3,HS,I,10
3,HS,I,7
3,HS,I,12
3,HS,I,9
3,HS,I,13
3,HS,I,10
3,HS,I,11
3,HS,I,14
3,HS,I,12
3,HS,I,12
3,HS,I,9
3,HS,I,11
3,HS,I,15
3,HS,II,10
3,HS,II,11
3,HS,II,8
3,HS,II,9
3,HS,II,5
3,HS,II,14
3,HS,II,8
3,HS,II,7
3,HS,II,15
3,HS,II,9
3,HS,II,10
3,HS,II,6
3,HS,II,8
3,HS,II,8
3,HS,II,15
3,HS,II,7
3,HS,II,15
3,HS,II,7
3,HS,II,8
3,HS,II,11
3,HS,II,8
3,HS,II,12
3,HS,II,11
3,HS,II,7
3,HS,II,9
3,HS,III,11
3,HS,III,6
3,HS,III,6
3,HS,III,4
3,HS,III,6
3,HS,III,5
3,HS,III,9
3,HS,III,12
3,HS,III,4
3,HS,III,15
3,HS,III,12
3,HS,III,7
3,HS,III,10
3,HS,III,13
3,HS,III,4
3,HS,III,11
3,HS,III,6
3,HS,III,7
3,HS,III,7
3,HS,III,4
3,HS,III,9
3,HS,III,13
3,HS,III,5
3,HS,III,11
3,HS,III,11
3,HS,III,5
3,HS,III,8
3,HS,III,16
3,HS,III,8
3,HS,III,8
3,HS,III,15
3,HS,III,14
2,LS,I,9
2,LS,I,10
2,LS,I,13
2,LS,I,12
2,LS,I,9
2,LS,I,13
2,LS,I,10
2,LS,I,13
2,LS,I,13
2,LS,I,12
2,LS,I,13
