"""Kernel""","""Salinity""","""Species""","""Day 0""","""Day 1""","""Day 2""","""Day 3""","""Day 4""","""Day 5""","""Day 6""","""Day 7""","""Day 8""","""Day 9""","""Day 10"""
2,HS,I,2.421641791,1.906976744,1.816326531,2.538461538,3,3.609756098,3.173076923,3.066666667,2.818181818,3.083333333,2.555555556
2,HS,I,2.419795222,2.215311005,2.040201005,2.533707865,2.448717949,2.711111111,3.024691358,2.690789474,2.448,2.491666667,2.539130435
2,HS,I,2.316363636,2.56122449,2.526785714,2.583333333,2.677018634,2.802575107,2.71291866,2.593406593,2.664285714,2.549180328,2.542168675
2,HS,I,2.339100346,2.527522936,2.759124088,2.35,3.2,3.25,2.842105263,2.852941176,3.023255814,3.647058824,4.076923077
2,HS,I,2.297658863,2.277777778,2.571428571,3.19379845,3.252525253,2.905511811,3.467889908,3.06741573,3.068965517,3.392857143,3.5
2,HS,I,2.268115942,2.063063063,1.956521739,2.634920635,3.722222222,3.08,2.9375,2.28,2.675,2.338983051,2.333333333
2,HS,I,2.254545455,2.252173913,2.677777778,3.260273973,4.066666667,3.462686567,3.112903226,2.64,2.897435897,2.526315789,2.5625
2,HS,I,2.284722222,2.281879195,2.46,2.342105263,3.216216216,2.830769231,2.695121951,2.592592593,2.202702703,2.096385542,1.558823529
2,HS,I,2.588932806,2.22972973,2.090909091,1.25,1,2.464285714,2.480769231,2.5,2.489795918,2.636363636,2.892857143
2,HS,I,2.280821918,2.553956835,2.663043478,3.184,3.015625,2.525925926,2.47972973,2.403846154,2.330882353,2.346774194,2.288659794
2,HS,I,2.438848921,2.202898551,2.222222222,2.459183673,2.769230769,2.895833333,2.708029197,2.681818182,2.771653543,2.433333333,2.784810127
2,HS,I,2.239130435,2.730263158,2.488888889,3.188679245,3.40625,3.336956522,3.010416667,3.123595506,2.764705882,2.978494624,2.456790123
2,HS,I,2.310218978,2.294964029,2.107692308,2.323232323,2.759259259,2.680412371,2.587719298,2.558823529,2.528735632,2.779411765,2.654761905
2,HS,I,2.3099631,2.283018868,2.163793103,3.341085271,2.743055556,2.784810127,3.091549296,3.046511628,2.788135593,3.052083333,3.040540541
2,HS,I,2.344322344,2.029411765,2.549295775,2.794392523,4.020408163,3.333333333,2.93258427,3.177777778,3.280701754,2.857142857,3.15942029
2,HS,I,2.385245902,2.041322314,2.106557377,2.270440252,2.24375,2.407407407,2.141666667,1.87037037,2.153846154,2.134831461,2.094594595
2,HS,I,2.34519573,2.494071146,2.37628866,2.711229947,2.535087719,2.741007194,2.48,2.58974359,2.811111111,2.430769231,2.555555556
2,HS,I,2.381756757,2.607843137,2.245901639,2.738095238,2.6875,3.469387755,3.068493151,3,3.563636364,4.65,4.142857143
2,HS,I,2.191056911,2.34057971,2.533333333,2.609756098,2.648648649,2.790322581,2.86440678,2.784313725,2.316666667,2.684210526,1.814814815
2,HS,I,2.330882353,1.75,2.054794521,1.895522388,1.647058824,2.661764706,2.611940299,2.472727273,2.514285714,2.368421053,2.285714286
2,HS,I,2.318681319,2.145833333,2.50273224,2.488764045,2.387323944,2.864864865,2.7875,2.658536585,2.583333333,2.614754098,2.413793103
2,HS,I,2.245551601,2.014925373,2.537931034,3.418604651,3.120689655,2.898148148,3.068181818,2.9,2.969465649,2.748031496,2.775193798
2,HS,I,2.257042254,2.079470199,2.350877193,2.495652174,2.527272727,2.444444444,2.661417323,2.21875,1.841121495,2.259259259,2.224137931
2,HS,I,2.216911765,2.222857143,2.374301676,2.644067797,2.850574713,2.453846154,2.572580645,2.47761194,2.218045113,2.496124031,2.490196078
2,HS,I,2.357142857,2.106382979,2.318584071,2.315789474,3.697674419,2.858208955,3.014814815,2.953846154,3.234375,2.653846154,2.72
2,HS,I,2.25,2.504424779,2.191082803,2.617977528,2.5,2.232,2.436507937,2.282608696,2.252747253,2.074074074,2.44
2,HS,I,2.385964912,2.179487179,2.303571429,2.795454545,2.948051948,2.516129032,2.559701493,2.504950495,2.235955056,2.440860215,2.485148515
2,HS,I,2.244827586,2.505882353,2.875,2.182539683,2.34939759,2.655172414,2.8375,2.739726027,2.7375,2.772151899,2.189655172
2,HS,I,2.36900369,2.162650602,2.433526012,2.847457627,2.684210526,3.178571429,2.907692308,2.831932773,2.87755102,2.8125,2.825396825
2,HS,I,2.166666667,1.987804878,2.512,3.168067227,2.88034188,3.225352113,2.925925926,2.70754717,2.611764706,2.553191489,2.878787879
2,HS,I,2.257575758,2.081632653,2.414141414,3.030612245,3.166666667,2.876623377,2.802816901,2.843283582,2.852713178,2.716981132,2.898989899
2,HS,I,2.335793358,1.95,2.493333333,2.51758794,2.696969697,2.776119403,2.765100671,2.788617886,2.87037037,2.666666667,2.869565217
2,HS,I,2.333333333,2.1640625,2.098837209,2.531034483,2.545945946,2.885714286,2.74691358,2.666666667,2.617021277,2.441176471,3.21875
2,HS,I,2.24911032,2.096774194,2.08994709,2.284883721,2.51754386,2.72,2.842767296,2.773333333,2.664739884,2.48427673,2.229508197
